mid,汽车品牌,详细车型,车型ID
2,奔驰,奔驰GLS AMG,benchiglsjiamg
2,奔驰,奔驰GT AMG,benchiamggt
2,奔驰,奔驰GT AMG XX,benchigtamgxx
2,奔驰,奔驰GT AMG新能源,benchigtamgchadianhundong
2,奔驰,奔驰G级,benchigji
2,奔驰,奔驰G级 AMG,benchigjiamg
2,奔驰,奔驰SL AMG,sljiamg
2,奔驰,奔驰SL AMG新能源,benchisljiamgxinnengyuan
2,奔驰,奔驰S级,benchisji
2,奔驰,奔驰S级 AMG新能源,benchisjiamgxinnengyuan
2,奔驰,奔驰S级 插电混动,benchisjichadianhundong
2,奔驰,奔驰T级,benchitji
2,奔驰,奔驰VISION EQXX,benchivisioneqxx
2,奔驰,奔驰VLE,benchivle-12379
2,奔驰,奔驰VLE(海外),benchivle
2,奔驰,奔驰V级,vclass
2,奔驰,奔驰g级新能源,benchigjixinnengyuan
2,奔驰,奔驰纯电G级,benchieqg
2,奔驰,威霆,weiting-3038
2,奔驰,迈巴赫EQS SUV,maibaheeqssuv
2,奔驰,迈巴赫GLS,maibaheglsji
2,奔驰,迈巴赫SL级,maibaheslji
2,奔驰,迈巴赫S级,maibahesji
2,奔驰,迈巴赫S级 插电混动,maibahesjichadianhundong
3,宝马,Skytop,skytop
3,宝马,宝马2系,baoma2xi-11193
3,宝马,宝马2系(进口),baoma2xi
3,宝马,宝马3系,baoma3xi
3,宝马,宝马4系,4xi
3,宝马,宝马5系,baoma5xichangzhoujuban
3,宝马,宝马5系 插电混动(进口),5xichadianhundongjinkou
3,宝马,宝马5系(进口),baoma5xi-2034
3,宝马,宝马7系,baoma7xi
3,宝马,宝马7系 插电混动,baoma7xichadianhundong
3,宝马,宝马8系,baoma8xi
3,宝马,宝马M2,baomam2
3,宝马,宝马M3,baomam3
3,宝马,宝马M4,baomam4
3,宝马,宝马M5新能源,baomam5xinnengyuan
3,宝马,宝马Vision Driving Experience,visiondrivingexperience
3,宝马,宝马Vision Neue Klasse,bmwvisionneueklass
3,宝马,宝马Vision Neue Klasse X,baomaxinshidaisuv
3,宝马,宝马X1,huachenbaomax1
3,宝马,宝马X1(进口),baomax1
3,宝马,宝马X2(进口),baomax2-5246
3,宝马,宝马X3,baomax3-5301
3,宝马,宝马X3 M,baomax3m
3,宝马,宝马X3 插电混动(进口),baomax3chadianhundong
3,宝马,宝马X3(进口),baomax3
3,宝马,宝马X4,x4
3,宝马,宝马X4 M,baomax4m
3,宝马,宝马X5,baomax5-8108
3,宝马,宝马X5 M,baomax5m
3,宝马,宝马X5 插电混动(进口),baomax5chadianhundong
3,宝马,宝马X5(进口),baomax5
3,宝马,宝马X6,baomax6
3,宝马,宝马X6 M,baomax6m
3,宝马,宝马X7,baomax7
3,宝马,宝马XM,baomaxm
3,宝马,宝马i Vision Dee,bmwivisiondee
3,宝马,宝马i3,baomai3-8107
3,宝马,宝马i3(海外),baomai3haiwai
3,宝马,宝马i4,baomai4
3,宝马,宝马i5,baomai5-10419
3,宝马,宝马i5(进口),baomai5-8045
3,宝马,宝马i7,baomai7-8095
3,宝马,宝马iX,baomainext
3,宝马,宝马iX1,baomaix1-9962
3,宝马,宝马iX1(海外),baomaix1-8396
3,宝马,宝马iX2,baomaix2
3,宝马,宝马iX3,baomaix3-6731
3,宝马,宝马iX3(海外),baomaix3
3,宝马,宝马iX5,baomaix5
4,Jeep,Avenger新能源,avenger
4,Jeep,Wagoneer S,wagoneer
4,Jeep,大切诺基4xe,daqienuojiphevjinkou
4,Jeep,牧马人,jipumumaren
4,Jeep,牧马人4xe,mumarenphev
4,Jeep,角斗士,jeepgladiator
5,标致,标致4008,biaozhi4008-4866
5,标致,标致408,408sanxiang
5,标致,标致408X,408x
5,标致,标致5008,biaozhi5008-5085
5,标致,标致508L,biaozhi508l
5,标致,标致9X8,biaozhi9x8
5,标致,标致E-308,e308
5,标致,标致E-408(海外),biaozhie408haiwai
5,标致,标致Inception,biaozhiinception
5,标致,标致Polygon,biaozhipolygon
5,标致,标致e3008,biaozhie3008
5,标致,标致e408,biaozhie408
5,标致,标致e5008,biaozhie5008
6,雪铁龙,凡尔赛C5 X,fanersaic5x
6,雪铁龙,天逸 C5 AIRCROSS,c5aircross
6,雪铁龙,雪铁龙19_19,xuetielong1919
6,雪铁龙,雪铁龙C4X,xuetielongc4x
6,雪铁龙,雪铁龙C5 AIRCROSS(海外),xuetielongc5aircross
6,雪铁龙,雪铁龙ELO,elo
6,雪铁龙,雪铁龙ami,xuetielongami
6,雪铁龙,雪铁龙ë-C3 AIRCROSS,ec3
6,雪铁龙,雪铁龙ë-C4,xuetielongc4-6834
7,丰田,4Runner,fengtian4runner-6068
7,丰田,Agya,agya
7,丰田,C-HR 插电混动,chrchadianhundong
7,丰田,Granvia(海外),fengtiangranvia
7,丰田,HIACE,fengtianhaishi
7,丰田,Hilux,hailakesi-2813
7,丰田,Mirai,fengtianmirai
7,丰田,RAV4荣放,yiqifengtianrav4
7,丰田,SUPRA,fengtiansupra
7,丰田,Sienna,fengtiansaina
7,丰田,Tacoma,takematacoma
7,丰田,Urban Cruiser EV,urbansuv
7,丰田,bZ FlexSpace,bzflexspaceconcept
7,丰田,bZ Sport Crossover,bzsportcrossover
7,丰田,丰田86,fengtiangt86
7,丰田,丰田C-HR新能源(海外),chr
7,丰田,丰田COMS,fengtiancoms
7,丰田,丰田FT-3e,fengtianft3e
7,丰田,丰田FT-Me,ftmeconcept
7,丰田,丰田FT-Se,fengtianftse
7,丰田,丰田GR YARIS,gryaris
7,丰田,丰田GR 世极,fengtiangrshiji
7,丰田,丰田GR 卡罗拉,fengtiangrkaluola
7,丰田,丰田bZ3,yiqifengtianbz3
7,丰田,丰田bZ4X(海外),bz4x
7,丰田,丰田bZ5,yiqifengtianbz3c
7,丰田,丰田e-Palette,fengtianepalette
7,丰田,亚洲龙,fengtianavalon
7,丰田,兰德酷路泽(进口),fengtianludixunyangjian
7,丰田,凌尚,lingshang
7,丰田,凯美瑞,kaimeirui
7,丰田,凯美瑞(进口),fengtianjiamei
7,丰田,卡罗拉,kaluola
7,丰田,卡罗拉(海外),kaluolahaiwai
7,丰田,卡罗拉Cross(海外),kaluolacross
7,丰田,卡罗拉锐放,kaluolacross-7750
7,丰田,坦途,fengtianpika
7,丰田,埃尔法,alphard
7,丰田,埃尔法新能源,aierfaxinnengyuan
7,丰田,威兰达,weilanda
7,丰田,威兰达 插电混动,weilandaphev
7,丰田,威尔法,weierfashuangqing
7,丰田,威尔法新能源,weierfachadianhundong
7,丰田,威飒,venza-7660
7,丰田,普拉多,puladuo
7,丰田,普拉多(进口),fengtianpuladuo
7,丰田,普锐斯(海外),puruisihaiwai
7,丰田,柯斯达,fengtiankesida
7,丰田,柯斯达氢擎,kesidaqingqing
7,丰田,格瑞维亚,granvia
7,丰田,汉兰达,hanlanda
7,丰田,皇冠,xinhuangguan
7,丰田,皇冠(进口),huangguanjinkou
7,丰田,皇冠SPORT,huangguansports
7,丰田,皇冠SPORT新能源,huangguansportschadianhundong
7,丰田,皇冠陆放,huangguanlufang
7,丰田,红杉,fengtianhongshansequoia
7,丰田,赛那,saina-7574
7,丰田,铂智3X,guangqifengtianbozhi3x
7,丰田,铂智4X,fengtianbz4x
7,丰田,铂智7,guangqifengtianbozhi7gainianche
7,丰田,锋兰达,fenglanda
7,丰田,雷凌,levin
8,大众,Crafter,crafter
8,大众,ID. Buzz,idbuzz
8,大众,ID. CODE,idcode
8,大众,ID.4 CROZZ,dazhongid4-6835
8,大众,ID.4 X,dazhongid-6208
8,大众,ID.6 X,id6x
8,大众,ID.7 S,id7s
8,大众,ID.7 VIZZION,id7
8,大众,ID.AERO,aerob
8,大众,ID.AURA,idaura
8,大众,ID.AURA T6,idaurat6
8,大众,ID.ERA 5S,idera5s
8,大众,ID.ERA 9X,idera
8,大众,ID.EVERY 1,idone
8,大众,ID.EVO,idevo
8,大众,ID.GTI,idgti
8,大众,Jetta,jetta-6781
8,大众,Passat 插电混动,passatchadianhundong
8,大众,Polo,boluo
8,大众,T-ROC(海外),dazhongtrochaiwai
8,大众,Tiguan,dazhongtiguan
8,大众,Tiguan 插电混动,tiguanchadianhundong
8,大众,Transporter,transporter
8,大众,一汽-大众CC,cc-2932
8,大众,与众06,idunyx
8,大众,与众07,yuzhong07
8,大众,与众08,yuzhong08
8,大众,与众09,yuzhong09
8,大众,凌渡,lingdu
8,大众,大众California,dazhongcalifornia
8,大众,大众ID. CROSS,dazhongidcross
8,大众,大众ID.3,id3
8,大众,大众ID.3(海外),dazhongid
8,大众,大众ID.4(海外),dazhongid4
8,大众,大众ID.5,dazhongid5
8,大众,大众ID.7(进口),dazhongid7
8,大众,大众ID.Polo,id2all
8,大众,威然,dazhongviloran
8,大众,宝来,xinbaolai
8,大众,帕萨特,pasate
8,大众,帕萨特 插电混动,pasatechadianhundong
8,大众,探岳,tanrong
8,大众,探岳(海外),tanyuehaiwai
8,大众,探岳PHEV,tanyuegte
8,大众,探岳X,tanyuex
8,大众,探岳新能源(海外),tanyueehybrid
8,大众,探歌,dazhongtroc
8,大众,揽境,yiqidazhongsmv
8,大众,揽巡,tavendor
8,大众,朗逸,langyi
8,大众,迈腾,maiteng
8,大众,迈腾PHEV,maitenggte
8,大众,途安L,tuanl
8,大众,途岳,tharu
8,大众,途昂,teramont
8,大众,途观L,tuguanl
8,大众,途观L 插电混动,tuguanlchadianhundong
8,大众,途锐,dazhongturui
8,大众,速腾,suteng
8,大众,高尔夫,gaoerfu6dai
8,大众,高尔夫 插电混动(进口),gaoerfuchadianhundong
8,大众,高尔夫(进口),gaoerfu-3509
8,大众,高尔夫GTI,gaoerfugti-11203
9,奥迪,Activesphere,activesphere
9,奥迪,奥迪A3,aodia3-3999
9,奥迪,奥迪A4(进口),aodia4-2075
9,奥迪,奥迪A4L,quanxinaodia4l
9,奥迪,奥迪A5,aodia5
9,奥迪,奥迪A5L,aodia5l
9,奥迪,奥迪A5L Sportback,shangqiaodia5l
9,奥迪,奥迪A6,aodia6
9,奥迪,奥迪A6 e-tron(进口),aodia6etron
9,奥迪,奥迪A6L,xinaodia6l
9,奥迪,奥迪A6L e-tron,a6etron
9,奥迪,奥迪A7,aodia7
9,奥迪,奥迪A7L,aodia7l
9,奥迪,奥迪A8,aodia8l
9,奥迪,奥迪C概念车,aodicgainianche
9,奥迪,奥迪F1概念车,aodif1gainianche
9,奥迪,奥迪Q2L,aodiq2haiwai
9,奥迪,奥迪Q3,aodiq3haiwai
9,奥迪,奥迪Q3 Sportback,aodiq3sportback
9,奥迪,奥迪Q3(进口),aodiq3
9,奥迪,奥迪Q3新能源,aodiq3xinnengyuan
9,奥迪,奥迪Q4 e-tron,aodiq4-5786
9,奥迪,奥迪Q4 e-tron(海外),aodiq4etron
9,奥迪,奥迪Q5 Sportback,aodiq5sportback
9,奥迪,奥迪Q5 e-tron,audiconceptshanghai
9,奥迪,奥迪Q5(进口),aodiq5
9,奥迪,奥迪Q5L,aodiq5l
9,奥迪,奥迪Q5L Sportback,aodiq5lsportback
9,奥迪,奥迪Q6,aodiq6-8014
9,奥迪,奥迪Q6 Sportback e-tron,aodiq6etronsportback
9,奥迪,奥迪Q6 e-tron,aodiq6etron
9,奥迪,奥迪Q6L Sportback e-tron,aodiq6letronsportback
9,奥迪,奥迪Q6L e-tron,aodiq6etron-10046
9,奥迪,奥迪Q7,aodiq7
9,奥迪,奥迪Q8,aodiq8
9,奥迪,奥迪Q8 e-tron,aodiq8etron
9,奥迪,奥迪RS 3,aodirs3-5206
9,奥迪,奥迪RS 4,aodirs4
9,奥迪,奥迪RS 5,rs5
9,奥迪,奥迪RS 6,rs6
9,奥迪,奥迪RS 7,aodirs7
9,奥迪,奥迪RS Q e-tron,aodirsqetron
9,奥迪,奥迪RS Q3,aodirsq3-6064
9,奥迪,奥迪RS Q8,aodirsq8
9,奥迪,奥迪S e-tron GT,aodisetrongt
9,奥迪,奥迪S4,s4
9,奥迪,奥迪S5,aodis5
9,奥迪,奥迪S6,aodis6haiwai
9,奥迪,奥迪S6 e-tron,aodis6etron
9,奥迪,奥迪S7,aodis7haiwai
9,奥迪,奥迪S8,aodis8
9,奥迪,奥迪SQ5,aodisq5
9,奥迪,奥迪SQ5 Sportback,aodisq5sportback
9,奥迪,奥迪SQ6 e-tron,aodisq6etron
9,奥迪,奥迪SQ7,aodisq7-5958
9,奥迪,奥迪SQ8,aodisq8
9,奥迪,奥迪TT RS,aodittrs
10,斯柯达,ELROQ,elroq
10,斯柯达,ENYAQ iV,enyaqiv
10,斯柯达,斯柯达Epiq,sikedaepiq
10,斯柯达,明锐,mingrui
10,斯柯达,明锐(进口),mingruicombi
10,斯柯达,晶锐(海外),sikedafabiya
10,斯柯达,柯珞克,karoq
10,斯柯达,柯米克,kamiq
10,斯柯达,柯米克(海外),sikedakamiq
10,斯柯达,柯迪亚克,visions
10,斯柯达,柯迪亚克(海外),kediyakehaiwai
10,斯柯达,柯迪亚克GT,kediyakegt
10,斯柯达,速派,supai
10,斯柯达,速派(海外),supaihaiwai
13,现代,Crater,craterconcept
13,现代,EO 羿欧,xiandaichundiansuv
13,现代,Earth Concect,earthconcect
13,现代,IONIQ 3,ioniqainike3
13,现代,IONIQ 5,ioniq5
13,现代,IONIQ 5 N(艾尼氪5N),ioniq5n
13,现代,IONIQ 6,ioniqainike6
13,现代,IONIQ 9,ioniqainike9
13,现代,IONIQ(艾尼氪)V,ioniqainikev
13,现代,IONIQ(艾尼氪)V(海外),venusconcept
13,现代,Initium,initium
13,现代,KONA N,konan
13,现代,N Vision 74,nvision74
13,现代,Nexo,nexo-6066
13,现代,Pony,pony
13,现代,伊兰特,yilantesanxiang
13,现代,伊兰特Elantra N,yilanteelantran
13,现代,创虎,chuanghu
13,现代,帕里斯帝,xiandaipalisade
13,现代,库斯途,custo
13,现代,泓图,hongtu
13,现代,泓图EV,hongtuev
13,现代,现代RN22e,xiandairn22e
13,现代,现代ix35,xintusheng-2874
13,现代,盛图,shengtu
13,现代,索纳塔,suonatajiu
13,现代,索纳塔(进口),xiandaisuonata
13,现代,胜达,xinshengda
13,现代,胜达(进口),xiandaixinshengda
13,现代,途胜,tusheng
13,现代,雅尊,xiandaiyazun
14,北京汽车制造厂,212经典,beiqi212xilie
14,北京汽车制造厂,vala pro,vala
14,北京汽车制造厂,勇士,yongshi-5402
14,北京汽车制造厂,勇士皮卡,yongshi
14,北京汽车制造厂,北汽L2H,beiqil2h
14,北京汽车制造厂,北汽L6H,beiqil6h
14,北京汽车制造厂,北汽L7H,beiqil7h
14,北京汽车制造厂,卡路里,kaluli
14,北京汽车制造厂,嫦娥MINIEV,changeminiev
14,北京汽车制造厂,锐胜M8,ruishengm8
14,北京汽车制造厂,锐胜M8新能源,ruishengm8xinnengyuan
14,北京汽车制造厂,锐胜王牌M7,beiqizhizaom7-9547
14,北京汽车制造厂,锐胜王牌M7新能源,wangpaim7xinnengyuan
15,比亚迪,元PLUS,yuanplus
15,比亚迪,元UP,yuanup
15,比亚迪,唐,tangev
15,比亚迪,唐L,tangl
15,比亚迪,夏,wangchaowangmpv
15,比亚迪,大唐,wangchaodjisuv
15,比亚迪,大汉,han9
15,比亚迪,宋L DM-i,songldmi
15,比亚迪,宋L EV,biyadibjichundiansuv
15,比亚迪,宋Pro,songproev
15,比亚迪,宋Ultra,songultra
15,比亚迪,护卫舰07,huweijian07
15,比亚迪,比亚迪D1,biyadid1
15,比亚迪,比亚迪M9,biyadim9
15,比亚迪,比亚迪OCEAN-M,haiyanggainianche
15,比亚迪,比亚迪OCEAN-S,biyadioceans
15,比亚迪,比亚迪T4,biyadit4
15,比亚迪,比亚迪T5,biyadit5
15,比亚迪,比亚迪V3,biyadiv3
15,比亚迪,比亚迪e2,biyadie2
15,比亚迪,比亚迪e3,biyadie3
15,比亚迪,比亚迪e6,e6
15,比亚迪,比亚迪e7,biyadie7
15,比亚迪,比亚迪e9,biyadie9
15,比亚迪,汉,han
15,比亚迪,汉L,hanl
15,比亚迪,海狮05DM-i,haishi05
15,比亚迪,海狮05EV,haishi05ev
15,比亚迪,海狮06,haishi06ev
15,比亚迪,海狮07DM-i,haishi07dmi
15,比亚迪,海狮07EV,biyadihaishi
15,比亚迪,海狮08,haishi08
15,比亚迪,海豚,biyadiea1
15,比亚迪,海豹,oceanx
15,比亚迪,海豹05DM-i,haibao05
15,比亚迪,海豹06,haibao06
15,比亚迪,海豹06DM-i旅行版,haibao06lvxingban
15,比亚迪,海豹06GT,haibaox
15,比亚迪,海豹07DM-i,haibao07
15,比亚迪,海豹07EV,haibao07ev
15,比亚迪,海豹08,haibao08
15,比亚迪,海鸥,haiou
15,比亚迪,秦,qinev300
15,比亚迪,秦L,qinl
15,比亚迪,秦MAX,qinmax
15,比亚迪,秦PLUS,qinplusdm
15,比亚迪,驱逐舰05,biyadif5
16,铃木,Baleno,baleno
16,铃木,Dzire,dzire
16,铃木,Spacia,spacia
16,铃木,吉姆尼,jimuni
16,铃木,速翼特,yuyanjinkou
16,铃木,铃木e Vitara,lingmuevitara
16,铃木,铃木eVX,lingmuevx
17,福特,Bronco Sport,broncosport
17,福特,Bronco(海外),futebroncohaiwai
17,福特,Capri,capri
17,福特,E-Tourneo Courier,etourneocourier
17,福特,E全顺,quanshunev
17,福特,Maverick,maverick
17,福特,Mustang,futeyema
17,福特,PUMA,futepumahaiwai
17,福特,PUMA GEN-E,pumagene
17,福特,全顺,futexinquanshun
17,福特,全顺T8,quanshunt8
17,福特,探险者,tanxianzhe
17,福特,探险者(进口),futetansuozhe
17,福特,探险者EV,tanxianzheev
17,福特,游骑侠Ranger,ranger
17,福特,福特F-150,tianxiezuo
17,福特,福特F-150 纯电动,futef150chundiandong
17,福特,福特征服者,zhengfuzhe-3828
17,福特,福特智趣烈马,futeliemaxinnengyuan
17,福特,福特烈马,bronco
17,福特,福特电马,mustangmache
17,福特,福特电马(海外),futemustangmache
17,福特,翼虎 插电混动(进口),yihuchadianhundongjinkou-11020
17,福特,蒙迪欧,mengdiou
17,福特,途睿欧,tourneo
17,福特,锐界,ruijie
17,福特,锐际,futeescape-5695
17,福特,锐际 插电混动,ruijiphev
17,福特,领睿,equatorsport
17,福特,领睿 插电混动,lingruichadianhundong
17,福特,领裕,futeequator
17,福特,领裕 插电混动,lingyuchadianhundong
18,马自达,马自达3 昂克赛拉,axelaangkesaila
18,马自达,马自达Arata,mazidaarata
18,马自达,马自达CX-30,mazidacx30
18,马自达,马自达CX-30(海外),mazidacx30haiwai
18,马自达,马自达CX-5,cx5
18,马自达,马自达CX-50 行也,mazidacx50-9971
18,马自达,马自达CX-50(海外),mazidacx50
18,马自达,马自达CX-70,mazidacx70
18,马自达,马自达CX-8(海外),mazidacx8haiwai
18,马自达,马自达CX-90,mazidacx90
18,马自达,马自达EZ-6,mazidaez6
18,马自达,马自达EZ-60,mazidaez60
18,马自达,马自达MX-30纯电版,mazidaetpv
18,马自达,马自达MX-5,mazidamx5
19,沃尔沃,Concept Recharge,conceptrecharge
19,沃尔沃,沃尔沃EC40(海外),woerwoc40
19,沃尔沃,沃尔沃EM90,woerwoem90
19,沃尔沃,沃尔沃ES90,woerwoes90
19,沃尔沃,沃尔沃ES90(海外),woerwoes90haiwai
19,沃尔沃,沃尔沃EX30,woerwoex30-10356
19,沃尔沃,沃尔沃EX30(海外),woerwoex30
19,沃尔沃,沃尔沃EX90,woerwoex90-10279
19,沃尔沃,沃尔沃EX90(海外),woerwoex90
19,沃尔沃,沃尔沃S60,woerwos60l
19,沃尔沃,沃尔沃S90,s90l
19,沃尔沃,沃尔沃S90 插电混动,woerwos90chadianhundong
19,沃尔沃,沃尔沃V60,v60haiwai
19,沃尔沃,沃尔沃V90,v90
19,沃尔沃,沃尔沃XC40,woerwoxc40-5697
19,沃尔沃,沃尔沃XC40(进口),woerwoxc40
19,沃尔沃,沃尔沃XC60,woerwoxc60
19,沃尔沃,沃尔沃XC60 插电混动,xc60chadianhundong
19,沃尔沃,沃尔沃XC60 插电混动 (进口),woerwoxc60chadianhundong-jinkou
19,沃尔沃,沃尔沃XC70,woerwoxc70chadianhundong
19,沃尔沃,沃尔沃XC90,volvoxc90
19,沃尔沃,沃尔沃XC90 插电混动,xc90chadianhundong
21,长城汽车,I-NEST 4.0,inest40
21,长城汽车,山海炮,shanhaipao
21,长城汽车,山海炮 Hi4-T,shanhaipaophev
21,长城汽车,炮,pxilie
21,长城汽车,炮新能源,paoev
21,长城汽车,金刚炮,jingangpao
21,长城汽车,长城超跑,changchengchaopao
21,长城汽车,风骏5,fengjun5
21,长城汽车,风骏7,fengjun7
25,三菱,Delica,delica
25,三菱,Delica Mini,delicamini
25,三菱,Triton,triton-10409
25,三菱,三菱L200,sanlingl200
25,三菱,三菱eK EV,kev
25,三菱,欧蓝德 插电混动(进口),oulandephevjinkou
26,本田,Honda SUV e:,hondasuve
26,本田,LIFE,life
26,本田,Ridgeline,bentianridgeline
26,本田,e:NP2 极湃2,bentianenp2
26,本田,东风本田GT,yegt
26,本田,东风本田S7,yes7
26,本田,冠道,guandao
26,本田,型格,integra
26,本田,奥德赛,xinaodesai
26,本田,广汽本田GT,guangqibentiangt
26,本田,广汽本田P7,yep7
26,本田,思域,siyucivic
26,本田,思域(进口),bentiansiyu
26,本田,本田0 Saloon,saloon
26,本田,本田CR-V,dongfengbentiancrv
26,本田,本田CR-V e:PHEV,bentiancrvchadianhundong
26,本田,本田CR-V(进口),bentiancrv
26,本田,本田HR-V,bentianhrv-9673
26,本田,本田HR-V(海外),bentianhrv
26,本田,本田UR-V,bentianurv
26,本田,本田XR-V,bentian2xw
26,本田,本田e:N GT,engtconcept
26,本田,本田e:N SUV,ensuvconcept
26,本田,本田e:N2,en2concept
26,本田,猎光e:NS2,ens2
26,本田,皓影,bentianbreeze
26,本田,皓影 e:PHEV,haoyingchadianhundong
26,本田,缤智,vezeljinkou
26,本田,艾力绅,ailishen
26,本田,英仕派,bentianinspire
26,本田,英仕派 e:PHEV,yingshipaixinnengyuan
26,本田,雅阁,dibadaiyage
26,本田,雅阁 e:PHEV,yagechadianhundong
27,东风,EQ REBORN,eqreborn
27,东风,帕拉索,palasuo
27,东风,帕拉索新能源,palasuoxinnengyuan
27,东风,猛士M50,mengshim50
27,东风,猛士MS600,mengshim20
27,东风,郑州日产Z9,yuanye
27,东风,郑州日产Z9 GE PHEV,zhengzhourichanz9xinnengyuan
27,东风,锐骐,ruiqipika
27,东风,锐骐6 EV,ruiqi6ev
27,东风,锐骐6 pro,ruiqi6pro
27,东风,锐骐7,ruiqi7
27,东风,锐骐7 EV,ruiqi7ev
28,起亚,Picanto,picanto-6507
28,起亚,Ray新能源,raychundiandong
28,起亚,Sportage(进口),shipao-2024
28,起亚,Stonic,stonic
28,起亚,Syros,syros
28,起亚,Tasman,tasman
28,起亚,佳乐新能源,jialexinnengyuan
28,起亚,嘉华,jiahua
28,起亚,嘉华(进口),qiyajiahua
28,起亚,奕跑,yipao
28,起亚,智跑,dongfengyuedaqiyasl
28,起亚,极睿,niro
28,起亚,焕驰,huanchi
28,起亚,狮铂拓界,sportage
28,起亚,索兰托,suolantuo
28,起亚,索奈,qiyasonet-10555
28,起亚,赛图斯,saitusi
28,起亚,起亚Ceed,qiyaceed
28,起亚,起亚EV3,qiyaev3
28,起亚,起亚EV4,qiyaev4
28,起亚,起亚EV5,qiyaev5-10430
28,起亚,起亚EV5(海外),qiyaev5
28,起亚,起亚EV6,qiyaev6
28,起亚,起亚EV9,qiyaev9
28,起亚,起亚K3,dongfengyuedaqiyak3
28,起亚,起亚K3(海外),qiyak3haiwai
28,起亚,起亚K4,qiyak4-8446
28,起亚,起亚K5,k5
28,起亚,起亚PV5,pv5
29,东南,东南DX8 PLUS,dongnandx8plus
30,日产,ARIYA艾睿雅,ariya
30,日产,Ariya(海外),richanariya
30,日产,EPIC CONCEPT,epicconcept
30,日产,ERA,eraconcept
30,日产,EVO,evoconcept
30,日产,GT-R,richangtr
30,日产,PATHFINDER 探陆,pathfinder
30,日产,Serena,richanserena
30,日产,Skyline,richanskyline
30,日产,Xterra,xterra
30,日产,劲客,jinke
30,日产,天籁,xintianlai
30,日产,天籁(海外),altima
30,日产,奇骏,qijun
30,日产,奇骏(进口),richanqijun
30,日产,探陆(海外),richanpathfinderhaiwai
30,日产,日产N6,richann6
30,日产,日产N7,dongfengrichann7
30,日产,日产NX8,richannx8
30,日产,日产Z,richanzproto
30,日产,纳瓦拉,nawala
30,日产,聆风,lingfeng
30,日产,轩逸,xuanyi
30,日产,逍客,xiaoke
30,日产,锋坦Frontier Pro,richanfrontier
30,日产,锋坦Frontier Pro PHEV,frontierxinnengyuan
30,日产,阳光(海外),yangguang-haiwai
